,0
001,Explain the pathophysiology and phenotype variability of familial glucocorticoid deficiency.
002,Identify craniosynostosis as an initial presentation of X-linked hypophosphatemic rickets.
003,Incorporate dietary fiber into the insulin calculation for meals and snacks in patients with type 1 diabetes mellitus.
004,
005,Evaluate breast enlargement and galactorrhea in a neonate.
006,
007,Differentiate among the various glycogen storage disorders on the basis of clinical findings.
008,Explain the importance of IGF-1 bioavailability in the normal functioning of the GH-IGF-1 axis and identify pathogenic variants in the PAPPA2 gene as a cause of postnatal growth failure and short stature.
009,Diagnose macro-TSH as a confounder in newborns with elevated TSH and normal total or free T4.
010,Diagnose pheochromocytoma in a child and conduct the appropriate investigations.
011,Explain the effects of somatostatin and somatostatin analogues on TSH and GH secretion.
012,Diagnose glycogen storage disease in a patient with hypoglycemia based on their concurrent clinical and laboratory findings.
013,Guide decision-making regarding prophylactic thyroidectomy in a family with multiple endocrine neoplasia type 2A.
014,"Explain that LH, FSH, TSH, and hCG are heterodimers composed of a common α-subunit and a hormone-specific β-subunit."
015,"Diagnose magnesium deficiency, which can present similarly to hypocalcemia, and identify total parenteral nutrition as potentially placing a patient at risk."
016,List the lipid characteristics associated with metabolic syndrome in the context of polycystic ovary syndrome in adolescent patients and explain the differences observed in the manifestation of this syndrome in various racial/ethnic groups.
017,Identify the high-risk features for thyroid cancer on ultrasonography and evaluate for malignancy in an adolescent with thyroid nodules.
018,Differentiate among causes of secondary amenorrhea.
019,Advise patients on how to adjust their insulin regimen during anaerobic forms of exercise.
020,Identify pseudohypoparathyroidism type 1A as a cause of short stature and list the clinical and laboratory abnormalities associated with this disorder.
021,Diagnose and manage primary aldosteronism due to an aldosterone-producing adenoma.
022,Explain the endocrine adverse effects of tyrosine kinase inhibitor therapy in children.
023,Describe the clinical significance of the effect of prematurity on thyroid function in the neonate.
024,Differentiate among the conditions responsible for pathologic loss of thirst.
025,Anticipate changes needed in the insulin regimen of a patient with diabetes mellitus to address hyperglycemia associated with glucocorticoid therapy.
026,List the physical characteristics of short stature in patients with achondroplasia and identify pathogenic variants in the FGFR3 gene as the cause of achondroplasia.
027,"Evaluate the etiology of undervirilization in an infant with a 46,XY karyotype."
028,Evaluate the possibility of statin-induced myopathy in an adolescent.
029,Diagnose Graves disease in a patient who has had Hashimoto thyroiditis for several years.
030,Describe the pitfalls in diagnosing GH deficiency when there is simultaneous precocious puberty in children receiving radiation therapy to the hypothalamic-pituitary region.
031,Recommend 99Tc sestamibi scanning to determine whether hyperparathyroidism is secondary to a solitary parathyroid adenoma and to guide surgical management in young patients.
032,
033,Identify characteristic variations in timing of pubertal events in individuals with Silver-Russell syndrome.
034,Guide the evaluation to localize an insulinoma in a child.
035,
036,"Summarize the medical management of Graves disease with antithyroid drugs, including pharmacologic actions, dosage, monitoring, adverse effects, and indications for seeking alternative treatments."
037,Develop an approach to the diagnosis and evaluation of secondary adrenal insufficiency.
038,Identify heterozygous inactivating pathogenic variants in the NPR2 gene as a cause of idiopathic short stature and homozygous pathogenic NPR2 variants as the cause of acromesomelic dysplasia Maroteaux type.
039,Identify criteria to recommend bariatric procedures in adolescents.
040,Identify the underlying etiology of primary ovarian insufficiency in an adolescent girl.
041,Distinguish between subacute thyroiditis and exogenous intoxication in a patient with hyperthyroidism.
042,"Recognize that severe vitamin D deficiency in infancy can present with cardiac changes, including prolonged QTc interval, dilated cardiomyopathy, laryngospasm, and seizures."
043,Explain the risks associated with use of liraglutide to treat children with type 2 diabetes mellitus.
044,Explain the effects of the inhibins and activins on gonadotropin synthesis and secretion.
045,Make recommendations based on the guidelines for medical management following surgery for thyroid cancer.
046,Interpret nonfasting lipid measurements and recommend management for children with elevated LDL-cholesterol levels.
047,Describe new developments in the management of severe short stature associated with achondroplasia to appropriately guide parents who inquire about potential interventions.
048,Develop an approach to the monitoring of treatment in children with congenital adrenal hyperplasia.
049,Monitor effectiveness of therapy in a child with newly diagnosed Graves disease.
